Venue,Address 1,Address 2,Phone,Web
Joseph Kramer,25 Wicklow Street,,01 6719107,
Joy of Cha,10 East Essex Street,,01 6793393,
Julien,First Floor,St. Stephens Shopping Centre,01 475 1144,
Jump Juice,2-3 Merchant Arch,,01 6710058,
Juna Berry,Unit 2,30 Lower Ormond Quay,01 8748909,
Jupiter,First Floor,St. Stephens Shopping Centre,01 4783101,
Jurys Inn,Christchurch Place,,01 4540000,http://www.jurysinns.com
Jurys Inn,Custom House Quay,,01 8541500,http://www.jurysinns.com
Jurys Inn,Parnell Street,,01 8784900,http://www.jurysinns.com
Just Cuts,2 Bachelor's Walk,,18728401,http://www.justcuts.ie/
K2,101 Talbot Street,,01 8741717,
Kavanagh's Art Graphics,64 Lower Camden Street,,01 4783804,
Kavanagh's Costcutter Express,70 Aungier Street,,01 4189712,
Kavanagh's Newsagents,10 Aungier Street,,01 4752733,
Kelly Gunning Estate Agents,Clanbrassil Street Upper,Leonard's Corner,01 4983718,http://www.kellygunning.com
Kevin Street Library,18 Lower Kevin Street,,01 4753794,http://www.dublincitypubliclibraries.ie
Kids Foot Locker,28 Henry Street,,01 8727293,http://www.footlocker.ie
Koh,7-8a Jervis Street,Millennium Walkway,01 8146777,
Koreana ,Unit 4 Stewart Hall,Ryders Row,01 8735290,
Korky's,4 Post Office Building,Henry Street,01 8731359,
La Senza ,43 Grafton Street,,01 7079842,http://www.lasenza.co.uk
Ladbrokes,73 Abbey Street Middle,,01 800 200539,http://www.ladbrokes.com
Ladbrokes,8 Chatham Street,,01 4036500,http://www.ladbrokes.com
Langkawi,46 Upper Baggot Street,,01 6682760,
Laptop Lab,77 Aungier Street,,01 4757177,
Larry Murphy's,43-44 Lower Baggot Street,,01 6624561,
Laser Specialist DVD Store,23 South Great Georges Street,,01 6711466,
Laughter Lounge,4-8 Eden Quay,Dublin 1,01 8148947,www.laughterlounge.com
Laura Ashley,60-61 Grafton Street,,01 6330056,http://www.lauraashley.com
Lazer Image,Parnell Mall,Ilac Centre,01 8732998,http://www.thomasgear.com
Lemonjelly,Unit 11 Millennium Walk,Jervis Street,01 8735161,
Leonard's Cafe Bar,117 South Circular Road,,01 4542332,
Leonard's Corner Pharmacy,106 South Circular Road,,01 4534282,
Leonard's Corner Post Office,66 Clanbrassil Street Upper,,01 4543692,http://www.anpost.ie
Leonidas,16 Royal Hibernian Way,Dawson Street,01 6795915,
Lifestyle Sports,40 Mary Street,,01 8044125,http://www.lifestylesports.com
Lifestyle Sports,Ground Floor,St. Stephens Green Shopping Centre,01 4783366,http://www.lifestylesports.com
Lighting Emporium,60 Lower Camden Street,,01 4782761,
Ligne Roset,Exchange Street Upper,,01 6706677,
Lir Coins,Georges Street Arcade,,0876 826045,
Lisney,24 Stephens Green,,01 6382700,http://www.lisney.com
Listons,25-26 Lower Camden Street,,01 4054779,
L'Occitane En Provence,15 Wicklow Street,,01 8892575,http://www.loccitane.com/
Londis,82 South Circular Road,,,
Londis,Chancery Hall,Chancery Street,01 8772055,
Londis Foodhall,47-48 Lower Baggot Street,,01 6624354,
Louis Copeland & Sons - Casual Wear,18-19 Wicklow Street,,01 6777038,
Louis Copeland & Sons - Suit Wear,18-19 Wicklow Street,,01 6777038,
Loulerie,Chatham Street,,01 6724024,http://www.loulerie.ie
Lush,33 Henry Street,,01 8735735,http://www.lush.co.uk
Lynham Insurance,10  Wexford Street,,01 4722255,
M and D Coffee,6 George's Street Arcade,,0857 660755,http://www.coffeetea.ie
Mac Nally Opticians,Hughenot House,35-38 St Stephens Green,01 6769452,
MacDonald Cycles Ltd,38-39 Wexford Street,,01 4752586,
Mad Hatter,20 Lower Stephen Street,,01 4054936,
Magee,28 Wicklow Street,,01 6795795,
Mamma's Pizza,62 Talbot Street,,01 8559549,
Manhattan Beauty & Med Spa,42 Aungier Street,,01 4788888,
Mao Cafe Bar,2-3 Chatham Row,,01 6704899,
Maple Parmacy,Unit 3 The Maple Centre,Navan Road,01 8823323,
Maplin Electronics,The Smiths Building ,Jervis Street,01 8782388,http://www.maplin.co.uk
Marcus,Jervis Street Shopping Centre,Mary Street,01 8729515,http://www.marcus.eu
Market Arcade,South Great Georges Street,,01 2836077,
Market Bar,Fade Street,,01 6139094,http://www.marketbar.com
Markievicz Recreation Centre,Townsend Street,,01 6729121,
Marks and Spencer,15-20 Grafton Street,,01 6797855,http://www.marksandspencer.com
Marks and Spencer,Mary Street,,01 8728833,http://www.marksandspencer.com
Marlowe Cleaners,90 South Great George's Street,,01 6796982,
Massimo,14 Royal Hibernian Way,Dawson Street,01 6792394,
Massive Golf Sale,18 Royal Hibernian Way,Dawson Street,01 6336532,
McDonald's,2 Grafton Street,,01 6778393,http://www.mcdonalds.ie
McDonald's,50 Lower O'Connell Street,,01 8720050,http://www.mcdonalds.ie
McDonald's,Maple Centre,Navan Road,01 8687271,http://www.mcdonalds.ie
McDowells,3 Upper O'Connell Street,,01 8744961,
McDowell's Jewellers,3 Upper O'Connell Street,,01 8744961,http://www.mcdowellsjewellers.com
McQuillan Tools,34-36 Capel Street,,01 8733944,
Medical Centre ,11 Parliament Street,,01 6706060,
Medipharm,16 South Great Georges Street,,01 6719765,http://www.medipharm.ie
Medipharm,16 South Great Georges Street,,01 6719765,http://www.medipharm.ie
Mega Bikes,3-4 Wexford Street,,01 4784200,
Mercantile Bar & Grill,28 Dame Street,,01 6707100,
Mercer Hotel,Lower Mercer Street,,01 4782179,http://www.mercergroup.ie
Meteor,13 North Earl Street,,01 8148020,http://www.meteor.ie
Meteor ,34 Henry Street,,01 8731491,http://www.meteor.ie
Meteor ,66 Parnell Mall,Ilac centre,01 8047222,http://www.meteor.ie
Meteor Mobile Communications,24 Grafton Street,,01 6040249,
Metzo,65 Aungier Street,,01 6239288,http://www.eganhospitality.com
Mews,26 Royal Hibernian Way,Dawson Street,01 6778670,
Michael Guineys,11 - 12 North Earl Street,,01 8724377,http://www.michaelguiney.com
Michael Guineys,83 Talbot Street,,01 8747221,http://www.michaelguiney.com/
Michael Guineys,93 Talbot Street,,01 8724377,http://www.michaelguiney.com/
Michael Rock,73 Grafton Street,,01 6139910,http://www.rocks.ie
Mike's Cakes,61 Bolton Street,,,
Millets,61 - 62 Mary Street,,01 8733571,http://www.gelert.com
Miss Selfridge,Jervis Street Shopping Centre,Mary Street,01 8781016,http://www.missselfridge.com
Mobilia,14 South Great Georges Street,,01 6779844,http://www.mobilia.ie
Moi & Toi,105 Talbot Street,,01 8746270,
Molton Brown,21 Wicklow Street,,01 6799504,http://www.moltonbrown.co.uk
Mona Lisa,16a D'Olier Chamber,D'Olier Street,01 6770499,http://www.monalisabistro.com
Monaghans,4-6 Royal Hibernian Way,Dawson Street,01 6794451 / 6770823,
Monica John,1 South Anne Street,,01 6790045,
Monsoon,64 Grafton Street,,01 6139059,http://www.monsoon.co.uk
Morrisey's Butchers,12a Wexford Street,,01 4715561,
Mothercare,Ground Floor,St. Stephens Green Shopping Centre,01 4784755,http://www.mothercare.ie
Mothercare,Jervis Street Shopping Centre,Mary Street,01 8781184,http://www.mothercare.ie
Motion Picture,19 Central Mall,Ilac Centre,01 8722970,
Motion Picture,First Floor,St. Stephens Shopping Centre,01 4783387,
Motion Picture,Ground Floor,St. Stephens Green Shopping Centre,01 4783326,
Mr Mobile,2 Clanbrassil Street Upper,,01 4544760,http://www.mrmobile.ie
Mullen Sports,42 Capel Street,,01 8726740,http://www.mullensports.com
Munchies,146a Lower Baggot Street,,01 6619168,
Murrays,33-34 Upper O'Connell Street,,01 8787505,http://www.murraysbar.eu
Music Centre,The Button Factory,Curved Street,01 6709202,
N 2,39 Moore Mall,Ilac centre,01 8727390,
National Bible Society,41 Dawson Street,,01 6773272,http://www.biblesociety.ie
National Gallery of Ireland,Merrion Square,,01 6615133,http://www.nationalgallery.ie
National Irish Bank,138 Lower Baggot Street,,01 4840700,http://www.nationalirishbank.ie
National Irish Bank,98 South Circular Road,,01 4840050,http://www.nationalirishbank.ie
Neary's,1 Chatham Street,,01 6778596,
Nelsons Homeopathic Dispensary,15 Duke Street,,01 6790451,
Network Village Cafe,33  Wexford Street,,,
News Rail,1 - 2 Eden Quay,,01 8741772,
Newsvalue,Unit 10 Park Shopping Centre,Prussia Street,01 8385690,
Next,Jervis Street Shopping Centre,Mary Street,01 8781406,http://www.nextdirectory.ie
Nice-One,95 Parnell Street,,01 8729394,
Nijou,23 Royal Hibernian Way,,01 6334306,
Nike,40 Grafton Street,,01 6795794,http://www.nike.com
Noone Furniture,36 Talbot Street,,01 8556731,
Nourish,1 G.P.O. Arcade,Henry Street,01 8743290,http://www.nourish.ie/
Nourish,16 Wicklow Street,,01 6703223,http://www.nourish.ie
Nourish,6  Lower Liffey Street,,01 8734098,http://www.nourish.ie/
Nue Blue Eriu,7 South William Street,,01 6725776,
O2 Experience,52 Henry Street,,18782200,http://www.o2.ie
O2 Store,30 Mary Street,,01 8744027,http://www.o2.ie
O2 Store,5 Post Office Building,Henry Street,01 8779000,http://www.o2.ie
Oasis,44 - 45 Henry Street,,01 8730876,http://www.oasis-stores.com
OB1,4 Moores Mall,Ilac Centre,01 8733646,
O'Briens,6 The Maple Centre,Navan Road,01 8384864,http://www.obriensonline.com
O'Briens,Ground Floor,St. Stephens Green Shopping Centre,01 4782645,http://www.obriensonline.com
O'Briens Hardware,66 Talbot Street,,01 8740677,
O'Callaghan Stephen's Green Hotel,St Stephen's Green,,01 4173000,http://www.ocallaghanhotels.com
Ocean Mortgages,Finance House,46 Prussia Street,01 8693400,http://www.oceanmortgages.ie
O'Connors Workwear,148 Capel Street,,01 8733242,
O'Donoghue's,15 Merrion Row,,01 6762807,http://www.odonoghuesbar.com
Office Centre,70 Abbey Street Middle,,01 8749411,
O'Hara's Pharmacy,16 Redmans Hill,Aungier Street,01 4760680,http://www.oharas.ie
O'Hara's Pharmacy,16 Redmonds Hill,,01 4760680,http://www.oharas.ie
Olesya's Wine Bar,18 Exchequer Street,,01 6724087,http://www.olesyaswinebar.com/
Olio Cafe and Shop,17 Camden Street,,01 4759641,
Olivia's Hair Salon,35  Wexford Street,,01 4053993,
Om Diva,21-22 Market Arcade,,01 6334611,
Onboard,Creation Arcade,20a Duke Lane,01 6728767,http://www.onboard.ie
Optica,2 Royal Hibernian Way,Duke Lane,01 6774705,http://www.optica.ie
Opus II Music Shop,South Great Georges Street,,01 6778571,
O'Sullivans,14-15 Camden Street,,01 4789460,http://www.osullivangraphics.com
Oswoldo's Bistro,30 Lower Clanbrassil Street,,01 4735921,
Oval Displace,17 Redmans Hill,Aungier Street,01 4752511,
Oxfam,Unit 2 Wicklow House,South Great George's Street,01 4780777,http://www.oxfam.org
Oxfam Ireland,2 Wicklow House,Georges Street,01 4780777,http://www.oxfamireland.org
P & K Cycles,Patrick Street,,01 4734002,
Paco,Ground Floor,St. Stephens Green Shopping Centre,01 4757389,http://www.paco-on-line.ie
Paddy Power,2 Greeg Court,Parnell Street,1 800 721 822,http://www.paddypower.com
Paddy Power,3 Moore Street,,1 800 721 822,http://www.paddypower.com
Paddy Power,41 Abbey Street Middle,,01 4045900,http://www.paddypower.com
Pamela Scott,84-85 Grafton Street,,01 6796655,
Pan TV,68 Lower Camden Street,,01 4784244,
Paramount Hotel,Parliament Street and Essex Street,,01 4179900,http://www.paramounthotel.ie
Park Pharmacy,Unit 2 Park Shopping Centre,Prussia Street,01 8388104,
Parks Hair and Beauty Salon,128 Church Street,,01 8741055,
Past Times,14 Wicklow Street,,01 6717477,http://www.past-times.com
Patagonia,24-26 Exchequer Street,,01 6705748,http://www.patagonia.com
Patrick Street Pharmacy,7 Ardilaun Court,Patrick Street,01 4544897,
Patrick. F. O'Reilly & Co,9-10 South Great George's Street,,01 6793565,
Paul Browne Travel,Park Shopping Centre,Prussia Street,01 8386766,
Paul's Paint Store,44 Prussia Street,,01 8381977,
Peaches and Cream,24 Royal Hibernian Way,Dawson Street,01 6708804,http://www.peachesandcream.ie
Peakin Meat Specialists,112 South Circular Road,,01 4535782,
Penneys,47 Mary Street,,01 8727788,http://www.primark.ie
Penneys,Lower O'Connell Street,,01 656666,http://www.primark.ie
Penny Farthing Cycles Ltd,82 Lower Camden Street,,01 4780174,
Penthouse,Jervis Street Shopping Centre,Mary Street,01 8782222,
Pepe Jeans,30 Exchequer Street,,01 6727040,
Perfume Direct,Ground Floor,St. Stephens Green Shopping Centre,01 4758027,
Perigot,17 Royal Hibernian Way,Dawson Street,01 6169835,
Persona,9 Lemon Street,,01 6337352,
Peter Mark,11a Upper O'Connell Street,,01 8745589,http://www.petermark.ie
Peter Mark,18 North Earl Street,,01 8786663,http://www.petermark.ie/
Peter Mark,First Floor,St. Stephens Shopping Centre,01 4780404,http://www.petermark.ie
Peter Mark,Ilac Centre,,01 8725986,http://www.petermark.ie/
Petland,10 Lower Camden Street,,01 4782850,
Pharmacy O'Regan,36a Talbot Street,,01 8555396,
Phoenix Park Visitor Centre,Phoenix Park,,01 6770095,http://www.heritageireland.ie
Pig and Heifer,2 Charlotte Way ,,01 4783182,
Pine Trading Co,58 Capel Street,,01 8720091,
Pinheads Pizza!,104 South Circular Road,,01 4531432,
Pixels ,148 Lower Baggot Street,,01 6789644,
Pixels Camera Shop,34 South Anne Street,,01 6791176,http://www.pixels.ie
Points and Plugs,Unit 1 Park Shopping Centre,Prussia Street,01 8389390,
Polsmak,27 Capel Street,,0871 205828,
Post,St. Andrew Street,,1850 575858,http://www.anpost.ie
Potrero Hill,7 Royal Hibernian Way,Dawson Street,01 6330133,http://www.potrerohill-shop.com
Pravda,Lower Liffey Street,,01 8740090,http://www.pravda.ie
Print Bureau,27 Pembroke Street Lower,,01 6620222,http://www.printbureau.ie
Printing.com,Unit 3 Drury Hall,Lower Stephen Street,01 4054775,http://www.printing.com
Pronta Print,Unit 6 Castle House,South Great George's Street,01 4753622,http://www.prontaprint.com
Purty Kitchen,34-35 East Essex Street,Temple Bar,01 6770945,http://www.purtykitchen.com
Queen Beauty Emporium,66-67 Aungier Street,,01 4789633,http://www.queenbe.ie
Queen of Tarts,Dame Street,,01 6707499,
Quinn Direct Insurance,9 Lower O�Connell Street,,1850 771850,http://www.quinn-direct.com
Quiznos,2 North Earl Street,,01 8146230,
Radisson SAS Royal Hotel,Golden Lane,,01 8982900,http://www.radisson.com
Raidar,First Floor,St. Stephens Shopping Centre,01 4783221,
Rayhoon,8 Talbot Street,,01 8747901,http://www.rayhoon.ie
Renaissance,114-116 Capel Street,,01 8873809,
Respect,Park Shopping Centre,Prussia Street,01 8383988,http://www.respect.ie
Restore,67 Camden Street,,01 4759847,
Revenue Museum,Dublin Castle,,01 6777129,
Rhubarb Cafe,1 Pembroke Street Lower,,01 6767870,
Rhubarb Cafe,40 Lower Camden Street,,01 4518876,
Rhubarb Deli,1 Pembroke Street Lower,,01 6767870,
Rianour,24a Wicklow Street,,01 6778333,
Richard Alan,57 Grafton Street,,01 6168906,
Richard J Gough,24 Little Mary Street,,01 8731400,
Rick's Burgers,Dame Street,,,
Right Click,70 Lower Camden Street,,01 4759681,
River House Hotel,23-24 Eustace Street,Temple Bar,01 6707655,http://www.riverhousehotel.com
Road Records,16 B Fade Street,,01 6717340,http://www.roadrecs.com
Roasters Cafe,Jervis Street Shopping Centre,Mary Street,01 4685067,
Robert Elson Optometrists,Grafton Hall,33 Aungier Street,01 47527762,
Roberts Dry Cleaners,7 Park Shopping Centre,,01 8387704,
Ronan's,24 Eden Quey,,01 8747208,
Rong Xing,157 Parnell Street,,01 8146604,
Room,23 Aungier Street,,01 6798979,
Rory's Fish Tackle Shop,77a Temple Bar,,01 6772351,
Royal Dublin Hotel,O'Connell Street,,01 8733666,http://bestwestern.ie
Royal Pizza,11 Liffey Street Lower,,01 8724433,
Rush,65 South William Street,,01 6794376,
Sabotage,20 Exchequer Street,,01 6778713,
Salon,73-74 Patrick Street,,01 4164898,
Sam's Barbers,Dame Court,,01 6795788,
Sam's Barbers,Park Shopping Centre,Prussia Street,086 3955600,
Sasha,Ground Floor,St. Stephens Green Shopping Centre,01 4784579,http://www.sasha.ie
Savage,2 Blooms Lane,Italian Quarter,01 8733550,
Savills Hamilton Osborne King,20 Dawson Street,,01 6634300,http://www.savills.ie
Schuh,Jervis Street Shopping Centre,Mary Street,18730433,http://www.schuh.ie
Schuh - Ladies,47/48 O'Connell Street,,01 8723234,http://www.schuh.ie
Scruples,54 Talbot Street,,01 8365994,
Secret Book and Record Store,15a Wicklow Street,,01 6797272,
Shauna's,144 Capel Street,,01 8782863,
Sheepskin Shop,53 Central Mall,Ilac Centre,01 8729256,
Shelbourne Hotel,27 St Stephens Green,,01 6634500,http://theshelbourne.ie
Shoe Bar,90 South Great George's Street,,01 6796982,
Shoe Repairs,Unit 7 Park Shopping Centre,Prussia Street,01 8387704,
Shu Krazy,5 Talbot Street,,01 8726520,
Siam Thai Restaurant,14-15 St. Andrew Street,,01 6773363,http://www.siamthai.ie
Simon Hart,Mary Mall,Ilac Centre,01 8730722,
Simon's Place Coffee Shop,22 South Great Georges Street,,01 6797821,
Sisley,59 Grafton Street,,01 6728698,http://www.sisley.com
Size,26 Wicklow Street,,01 6771637,
Skunkfunk,Italian Quarter,Blooms Lane,01 8733561,http://www.skunkfunk.com
Skytours,107-109 Talbot Street,,01 8788200,http://www.skytours.ie
Skytours,75 Talbot Street,,01 8366677,http://www.skytours.ie
Smiles Orthodontics,27 South Anne Street,,01 3355555,http://www.smiles.ie
Smiles Orthodontics,4 South Anne Street,,01 6728939,http://www.smiles.ie
Smock Alley Cafe,3-4 Smock Alley Court,West Essex Street,0876 485390,
Smyth O'Brien Hegarty Solicitors,24 Lower Abbey Street,,01 8788674,
Smyth O'Brien Hegarty Solicitors,24 Lower Abbey Street,,01 8788674,http://www.sobh.ie
Smyths Toys,Jervis Street,,01 8782878,http://www.smyths.com
Soccer Shop,1 Wicklow House,Georges Street,01 4757810,http://www.thesoccershop.ie
Soccer Shop,Unit 1 Wicklow House,South Great George's Street,01 4751810,http://www.thesoccershop.ie/
Soco Cafe,1a Pembroke Street Lower,,086 6494718,
Sofas & Sofas,113 Capel Street,,01 8734214,http://www.sofasandsofas.com
Solo ,21 Wexford Street,,01 4755335,
Sony Centre,17 Lower O'Connell Street,,01 8731512,http://www.sony.ie
Sony Centre,35 St Stephens Green,,01 6620007,http://www.sony.ie
Sounds Around,9 Capel Street,,01 8722009,http://www.soundsaround.ie
South Circular Pharmacy,80 South Circular Road,,01 4537069,
South Street Cafe & Restaurant,South Great George's Street,,01 4758971,
South William Street Pharmacy,38 South William Street ,,01 6771966,
Spar,10 Parliament Street,,01 6705959,http://www.spar.ie
Spar,108 Cumberland Street,,01 8897574,http://www.spar.ie
Spar,129-132 Upper Abbey Street,,01 8734315,http://www.spar.ie
Spar,13 South Circular Road,,01 4543061,http://www.spar.ie
Spar,21-24 Capel Street,,01 8733802,http://www.spar.ie
Spar,44-45 Bolten Street,,01 8788243,http://www.spar.ie
Spar,50 Talbot Street,,01 8365102,http://www.spar.ie
Spar,70-72 Talbot Street,,01 8878407,http://www.spar.ie/
Spar,8 Lower Liffey Street,,01 8720694,http://www.spar.ie/
Spar,9a Lower Abbey Street,,01 8740817,
Spar,9a Lower Abbey Street,,01 8740817,http://www.spar.ie/
Spar,Trinity Plaza,Tara Street,01 6719383,
Spar,Unit 5 The Maple Centre,Navan Road,01 8687296,http://www.spar.ie
Spectacle Parade Opticians,24 Stephen Street Lower,,01 4005000,http://www.spectacleparade.ie
Spectra Photo,110 Lower Grafton Street,,01 6770338,http://www.spectra.ie
Sportsmith,8 Cathedral Street,,01 8731622,
St. Stephens Green Shopping Centre,St. Stephens Green,,01 4780888,http://www.stephensgreen.com
Stag's Head,1 Dame Court,,01 6793687,
Starbucks Coffee,Unit 1 Harcourt Buildings,Harcourt Street,01 4110390,http://www.starbucks.ie
Stephanie's Cafe and Restaurant,111 South Circular Road,,876314370,
Stradivarius,Jervis Street Shopping Centre,Mary Street,01 8656218,http://www.stradivarius.es
Subway,7 Wexford Street,,01 4053609,http://www.subway.ie
Subway ,Smithfield Village,,01 8746429,http://www.subway.co.uk
Sunway Travel,63 Mary Street,,01 8728055,http://www.sunway.ie
Super Value,27-32 Talbot Street,,01 8560927,
Sushi King,146 Baggot Street Lower,,01 6449836,
Swamp,Ground Floor,St. Stephens Green Shopping Centre,01 784256,
Swan,Aungier Street,,01 4752722,
Swarovski,3 Post Office Building,Henry Street,01 8788668,http://www.swarovski.com
T Bear + Co,Ground Floor,St. Stephens Green Shopping Centre,01 4781139,http://www.tbearco.com
T M Lewin,32-33 South Anne Street,,01 6359781,http://www.tmlewin.co.uk
T. Clifford Antiques,80 Aungier Street,,087 2365095,
T. P. Smiths,9-10 Jervis Street,,01 8724031,
Talbot Dance Centre,63 Talbot Street,,01 8557008,http://www.talbotdance.ie
Talbot Off Licence,33 Talbot Street,,01 8558185,
Tara Street Station,Tara Street,,01 8880132,http://www.irishrail.ie
Taste of India,32 Parliament Street,,01 6776873,http://www.tasteofindia.ie
Tea Time Express,Irish Mall,,01 8729955,
Techniques Hair Salon,42 Aungier Street,,01 4789583,
Temple Bar Pharmacy,21 Essex Street East,Temple Bar,01 6709751,
Temple Bar Trading Company,43-44 Temple Bar,,01 6703527,
Terrisales Hairdressing Services,71 Abbey Street Middle,,01 8724700,http://www.terrisales.ie
Terry Rogers Bookmakers,6-8 Old Cabra Road,,,http://www.terryrogers.ie
Tesco,Park Shopping Centre,Prussia Street,01 8384433,http://www.tesco.ie
Tesco Express,41 Camden Street,,01 4786106,http://www.tesco.ie
Tesco Express,Talbot Road,,01 8870980,http://www.tesco.ie
Tesco Ireland,15-16 Lower Baggot Street,,01 6761253,http://www.tesco.ie
The Philips Shop,19-22 Dame Street,,01 4740788,http://www.tvs.ie
Therapie,Molesworth Street,,01 4721222,http://www.therapie.ie
Thesis Centre Ltd,65 Lower Camden Street,,01 4753616,http://www.thesiscentre.com
Thomas Cook,118 Grafton Street,,01 6128512,http://www.thomascook.com
Thomas Gear Jewellers,72 Parnell Mall,Ilac Centre,01 8732998,http://www.thomasgear.com
Thomas Kinkade,Creation Arcade,Duke Lane,01 6336883,
Thomas Lenehan & Co Ltd,125 Capel Street,,01 8730466,
Thomas Patrick,77 Grafton Street,,01 6713866,
Thorntons,Ground Floor,St. Stephens Green Shopping Centre,01 4759461,http://www.thorntons.co.uk
Thorntons,Jervis Street Shopping Centre,Mary Street,01 8783319,http://www.thorntons.co.uk
Three Castles Jewellers,Castle House,Georges Street,01 8788729,
Threestore,46 Grafton Street,,01 6718239,
Tie Rack,35 Grafton Street,,01 6711581,
Tie Rack,Ground Floor,St. Stephens Green Shopping Centre,01 4781928,http://www.tie-rack.co.uk
Tierneys Gift Shop,Parnell Mall,Ilac Centre,01 8723211,http://www.tierneysgifts.com
Tiffins Sandwich Bar,4 Molesworth Place,,01 6761040,
Timpson,First Floor,St. Stephens Shopping Centre,01 4781068,http://www.timpson.com
Timpson,Parnell Mall,Ilac Centre,01 8723037,http://www.timpson.com/
TK Maxx,First Floor,St. Stephens Shopping Centre,01 4757080,http://www.tkmaxx.com
Toni & Guy,52 Dame Street,,01 6708745,http://www.toniandguy.ie
Tony Quinn,Ground Floor,St. Stephens Green Shopping Centre,01 4785404,http://www.tonyquinn.com
Toolz,137 Capel Street,,01 8732000,
Topman,Jervis Street Shopping Centre,Mary Street,01 8781016,http://www.topman.com
Topshop,Jervis Street Shopping Centre,Mary Street,01 8781016,http://www.topshop.com
Tour America,62/63 Abbey Street Middle,,01 8173500,http://www.touramerica.ie
Tourist Information and Bookings Office,Dublin Tourism Centre,St. Andrew's Church,1850 230330,http://www.visitdublin.com
Traditional Polish Bakery,85 Capel Street,,01 4089992,
Travel In Style,Moore Mall,Ilac Centre,,
Travelworld,76 Lower Camden Street,,01 4783611,
Treasures,Second Floor,St. Stephens Green Shopping Centre,01 4759789,
Tripod,The Old Railway Station Building,Harcourt Street,01 4759750,
T-Shirt Print,68 Parnell Mall,Ilac Centre,01 8728255,http://www.tshirtprint.co.uk
T-Shirt Print,First Floor,St. Stephens Shopping Centre,01 4782502,http://www.tshirtprint.co.uk
Turk's Head Chop House,Parliament Street ,,01 4179900,
Tuthills,13 Royal Hibernian Way,Dawson Street,01 6794956,
Unicorn,12b Merrion Row,,01 6788588,
Unique,Ground Floor,St. Stephens Green Shopping Centre,01 4782600,
United Colours of Benetton,Ground Floor,St. Stephens Green Shopping Centre,01 4781799,http://www.benetton.ie
Urban Eye Care,22 Bachelor's Walk,,01 8147080,http://www.urbaneyecare.ie
Urban Kids,First Floor,St. Stephens Shopping Centre,01 4759380,
Urbana Go Go,Upper Abbey Street,,,
Utopia,163 Capel Street,,01 8730980,
Valentino,First Floor,St. Stephens Shopping Centre,01 4781297,http://www.petermark.ie
Value4u,16 North Earl Street,,,
Velvet,31 Lower Ormond Quay,,01 8788940,http://www.velvetbeauty.ie
Veritas Company Ltd,7-8 Lower Abbey Street,,01 8788177,http://www.veritas.ie
Vero Monda,69 Grafton Street,,01 6715497,http://www.bestseller.com
Viking Splash Tours,64-65 Patrick Street,,01 7076000,http://www.vikingsplash.ie
Villlage Night Club,Wexford Street,,01 4758555,http://www.thevillagevenue.com
Vision Opticians,Jervis Street Shopping Centre,Mary Street,01 8781188,http://www.visionopticians.ie
Vodafone , 51 Henry Street,,01 8735020,http://www.vodafone.ie
Vodafone,3 Grafton Street,,01 6705205,http://www.vodafone.ie
Vodafone,32 Henry Street,,01 8731166,http://www.vodafone.ie
Vodafone,48 Grafton Street,,01 6705205,http://www.vodafone.ie
Wallis,104 Grafton Street,,01 6798349,http://www.wallis.co.uk/
Wallis,Mary Street,,01 8780440,http://www.wallis.co.uk
Waltons Music,69-70 South Great George's Street,,01 4750661,
Warehouse,37 Grafton Street,,01 6777719,
Wash House,12 Townsend Street,,01 6706530,
Watch Shop,61 Parnell Mall,Ilac Centre,01 8729612,
Watch Store,Jervis Street Shopping Centre,Mary Street,01 8781610,
Waterloo,26 Upper Baggot Street,,01 6600650,
Waterstones,7 Dawson Street,,01 6791415,http://www.waterstones.com
Waterstones,Jervis Street Shopping Centre,Mary Street,01 8781311,http://www.waterstones.com
Wawa Charity Shop,39 Aungier Street,,01 4759927,http://www.womensaid.ie
We Frame It,16 Dawson Street,,01 6770565,
Weir,39 Moores Mall,Ilac Centre,01 8729588,http://www.weirandsons.ie
Weir & Sons,1-3 Wicklow Street,,01 6779678,http://www.weirandsons.ie
West,33 Grafton Street,,01 6777275,
Westbrook Motors,89-90 Parnell Street,,01 8744000,http://www.westbrookmotors.com
Wexford Street Pharmacy,6 Wexford Street,,01 4750105,
Whelan's Off Licence,23-25 Wexford Street,,01 4752649,
Whetstone,24 South Anne Street,,01 6724727 / 6724728,http://www.whetstone.ie
Wild Cat Ink,3 Jervis Street,,01 8780551,
Wild Child Originals,61 South Great George's Street,,01 4755099,http://www.wildchildoriginals.com
William Hill,29 Wicklow Street,,00 4487051715,http://www.williamhill.com
William Hill,29-30 Dame Street,,00 448705181715,http://www.williamhill.com
William Kelly,63 Clanbrassil Street Upper,,01 4534113,
Work Wear,86 Capel Street,,01 8747872,
Xiaoyi Hair & Beauty Salon,83 Chapel Street,,01 8726900,
Xtra-vision,43 Prussia Street,,01 8380040,
Yellow Brick Road,8 Bachelor's Walk,,01 8730177,http://www.yellowbrickroad.ie
Zandiga,6-7 Upper Abbey Street,,01 8783881,
Zoo Hairstyling,25 Exchequer Street,,01 6125127,http://www.shaydempsey.tv
