SURNAME,TITLE,POST-NOMINALS,SALUTATION,PARTY,ELECTORATE,MINISTRY,CONTACT ADDRESS LINE1,CONTACT ADDRESS LINE2,CONTACT ADDRESS LINE3,CONTACT ADDRESS SUBURB,CONTACT ADDRESS STATE,CONTACT ADDRESS POSTCODE,CONTACT ADDRESS POBOX ,CONTACT ADDRESS POBOX SUBURB,CONTACT ADDRESS POBOX STATE,CONTACT ADDRESS POBOX POSTCODE,CONTACT ADDRESS EMAIL,CONTACT ADDRESS PHONE,CONTACT ADDRESS FAX,CONTACT ADDRESS WEBSITE,MINISTERIAL OFFICE ADDRESS LINE1,MINISTERIAL OFFICE ADDRESS LINE2,MINISTERIAL OFFICE ADDRESS LINE3,MINISTERIAL OFFICE ADDRESS SUBURB,MINISTERIAL OFFICE ADDRESS STATE,MINISTERIAL OFFICE ADDRESS POSTCODE,MINISTERIAL OFFICE POBOX ,MINISTERIAL OFFICE POBOX SUBURB,MINISTERIAL OFFICE POBOX STATE,MINISTERIAL OFFICE POBOX POSTCODE,MINISTERIAL OFFICE EMAIL,MINISTERIAL OFFICE PHONE,MINISTERIAL OFFICE FAX,MINISTERIAL OFFICE WEBSITE,,,OFFICE HOLDER
Stoner,The Hon.,M.P. BBus MBA,Minister,The Nationals,Oxley,Deputy Premier; Minister for Trade and Investment; and Minister for Regional Infrastructure and Services,37 Elbow Street,,,WEST KEMPSEY,NSW,2440,PO Box 3120,WEST KEMPSEY,NSW,2440,oxley@parliament.nsw.gov.au,(02) 6562 6190,(02) 6563 1355,,Level 30 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@deputypremier.nsw.gov.au,(02) 9228 5209,(02) 9228 5970,,,,
Tebbutt,The Hon.,M.P. BEc,Ms Tebbutt,Australian Labor Party,Marrickville,,299-301 Marrickville Road,,,MARRICKVILLE,NSW,2204,,,,,marrickville@parliament.nsw.gov.au,(02) 9572 5900,(02) 9572 6414,,,,,,,,,,,,,,,,,,
Toole,Mr,M.P. DipTeach,Mr Toole,The Nationals,Bathurst,,Suites 1 and 2,229 Howick Street,,BATHURST,NSW,2795,,,,,paul.toole@parliament.nsw.gov.au,(02) 6332 1300,(02) 6332 1900,,,,,,,,,,,,,,,,,,Parliamentary Secretary
Upton,Ms,M.P. MBA BA LLB,Ms Upton,Liberal Party,Vaucluse,,330 New South Head Road,,,DOUBLE BAY,NSW,2028,,,,,vaucluse@parliament.nsw.gov.au,(02) 9326 1856,(02) 9328 1132,,,,Macquarie Street,,,,,,,,,,,,,,Parliamentary Secretary
Ward,Mr,M.P. BA BCom MAICD JP,Mr Ward,Liberal Party,Kiama,,Terralong House,125 Terralong Street,,KIAMA,NSW,2533,,,,,kiama@parliament.nsw.gov.au,(02) 4232 1082,(02) 4232 3577,,,,,,,,,,,,,,,,,,Acting Speaker
Watson,Ms,M.P.,Ms Watson,Australian Labor Party,Shellharbour,,Shop 3,10 College Avenue Shellharbour City Centre,,SHELLHARBOUR,NSW,2529,,,,,shellharbour@parliament.nsw.gov.au,(02) 4297 3111,(02) 4297 3144,,,,,,,,,,,,,,,,,,
Webber,Mr,M.P.,Mr Webber,Liberal Party,Wyong,,Shop 4,142 Pacific Highway,,WYONG,NSW,2259,PO Box 836,WYONG,NSW,2259,wyong@parliament.nsw.gov.au,(02) 4352 2711,(02) 4352 2766,,,,,,,,,,,,,,,,,,
Williams,Mr,M.P.,Mr Williams,The Nationals,Murray-Darling,,1/142 Argent St,,,BROKEN HILL,NSW,2880,,,,,murraydarling@parliament.nsw.gov.au,(08) 8087 3315,(08) 8087 1796,,228 Cressy Street,,,DENILIQUIN,NSW,2710,,,,,,(03) 5881 7034,(03) 5881 7839,,,,The Nationals Whip
Williams,Mr,M.P.,Mr Williams,Liberal Party,Hawkesbury,,Suite 202 Rouse Hill Town Centre,10-14 Market Lane,,ROUSE HILL,NSW,2155,,,,,hawkesbury@parliament.nsw.gov.au,(02) 8882 9555,(02) 8882 9411,,,,,,,,,,,,,,,,,,Parliamentary Secretary
Williams,Mrs,M.P. BNurs DipTeach,Mrs Williams,The Nationals,Port Macquarie,,Suite 6,27 Grant Street,,PORT MACQUARIE,NSW,2444,,,,,portmacquarie@parliament.nsw.gov.au,(02) 6584 0977,(02) 6584 0978,,,,,,,,,,,,,,,,,,
Zangari,Mr,M.P. BEd,Mr Zangari,Australian Labor Party,Fairfield,,Suite 6 Level 2 Neeta City Shopping Centre,Smart Street,,FAIRFIELD,NSW,2165,PO Box 771,FAIRFIELD,NSW,1860,fairfield@parliament.nsw.gov.au,(02) 9726 9323,(02) 9726 9783,,,,,,,,,,,,,,,,,,
Ajaka,The Hon.,M.L.C.,Mr Ajaka,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,john.ajaka@parliament.nsw.gov.au,(02) 9230 2203,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
Barham,The Hon.,M.L.C.,Ms Barham,The Greens,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,jan.barham@parliament.nsw.gov.au,(02) 9230 2603,(02) 9230 2766,,,,,,,,,,,,,,,,,,
Blair,The Hon.,M.L.C.,Mr Blair,The Nationals,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,niall.blair@parliament.nsw.gov.au,(02) 9230 2467,(02) 9230 2997,,,,,,,,,,,,,,,,,,
Borsak,The Hon.,M.L.C.,Mr Borsak,Shooters and Fishers Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,robert.borsak@parliament.nsw.gov.au,(02) 9230 2850,(02) 9230 2613,,,,,,,,,,,,,,,,,,
Brown,The Hon.,M.L.C.,Mr Brown,Shooters and Fishers Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,robert.brown@parliament.nsw.gov.au,(02) 9230 3059,(02) 9230 2613,,,,,,,,,,,,,,,,,,
Buckingham,The Hon.,M.L.C.,Mr Buckingham,The Greens,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,jeremy.buckingham@parliament.nsw.gov.au,(02) 9230 2202,(02) 9230 3341,,,,,,,,,,,,,,,,,,
Clarke,The Hon.,M.L.C. LL B (Syd),Mr Clarke,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,david.clarke@parliament.nsw.gov.au,(02) 9230 2260,(02) 9230 3501,,,,,,,,,,,,,,,,,,Parliamentary Secretary
Colless,The Hon.,M.L.C. HD App Sci(Agric),Mr Colless,The Nationals,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,rick.colless@parliament.nsw.gov.au,(02) 9230 2344,(02) 9230 3579,,,,,,,,,,,,,,,,,,Deputy Government Whip in the Legislative Council
Cotsis,The Hon.,M.L.C.,Ms Cotsis,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,sophie.cotsis@parliament.nsw.gov.au,(02) 9230 2080,(02) 9230 3056,,,,,,,,,,,,,,,,,,
Cusack,The Hon.,M.L.C. BEc(SocSc),Ms Cusack,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,catherine.cusack@parliament.nsw.gov.au,(02) 9230 2915,(02) 9230 2385,,,,,,,,,,,,,,,,,,
Donnelly,The Hon.,M.L.C. BEc MIR,Mr Donnelly,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,greg.donnelly@parliament.nsw.gov.au,(02) 9230 2280,(02) 9230 2585,,,,,,,,,,,,,,,,,,
Faehrmann,The Hon.,M.L.C.,Ms Faehrmann,The Greens,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,cate.faehrmann@parliament.nsw.gov.au,(02) 9230 2320,(02) 9230 2420,,,,,,,,,,,,,,,,,,Temporary Chair of Committees
Fazio,The Hon.,M.L.C.,Ms Fazio,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,amanda.fazio@parliament.nsw.gov.au,(02) 9230 3593,(02) 9230 3591,,,,,,,,,,,,,,,,,,Opposition Whip in the Legislative Council
Ficarra,The Hon.,M.L.C. B.Sc.(Hons),Ms Ficarra,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,marie.ficarra@parliament.nsw.gov.au,(02) 9230 2894,(02) 9230 2466,,,,,,,,,,,,,,,,,,Parliamentary Secretary
Foley,The Hon.,M.L.C.,Mr Foley,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,Luke.Foley@parliament.nsw.gov.au,(02) 9230 2927,(02) 9230 3349,,,,,,,,,,,,,,,,,,Leader of the Opposition in the Legislative Council
Gallacher,The Hon.,M.L.C. BProf St,Mr Gallacher,Liberal Party,,Minister for Police and Emergency Services; Minister for the Hunter; and Vice-President of the Executive Council,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,,(02) 9230 2302,(02) 9230 2980,,Level 33 Governor Macquarie Tower,1 Farrer Place,,Sydney,NSW,2000,,,,,office@gallacher.minister.nsw.gov.au,(02) 9228 5257,(02) 9228 5724,,,,Leader of the Government in the Legislative Council
Gardiner,The Hon.,M.L.C. BBus,Ms Gardiner,The Nationals,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,jenny.gardiner@parliament.nsw.gov.au,(02) 9230 2903,(02) 9230 3408,,,,,,,,,,,,,,,,,,Deputy President and Chair of Committees
Gay,The Hon.,M.L.C.,Mr Gay,The Nationals,,Minister for Roads and Ports,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,,(02) 9230 2329,(02) 9230 2923,,Level 35 Governor Macquarie Tower,1 Farrer Place,,Sydney,NSW,2000,,,,,office@gay.minister.nsw.gov.au,(02) 9228 5271,(02) 9228 5499,,,,Deputy Leader of the Government in the Legislative Council; Leader of the House in the Legislative Council
Green,The Hon.,M.L.C.,Mr Green,Christian Democratic Party (Fred Nile Group),,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,paul.green@parliament.nsw.gov.au,(02) 9230 3484,(02) 9230 2342,,,,,,,,,,,,,,,,,,Temporary Chair of Committees
Harwin,The Hon.,M.L.C. BEc(Hons),Mr Harwin,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,don.harwin@parliament.nsw.gov.au,(02) 9230 2300,(02) 9230 3518,,,,,,,,,,,,,,,,,,President of the Legislative Council of NSW
Kaye,Dr,M.L.C.,Dr Kaye,The Greens,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,john.kaye@parliament.nsw.gov.au,(02) 9230 2668,(02) 9230 2586,,,,,,,,,,,,,,,,,,
Khan,The Hon.,M.L.C. B Juris LLB(UNSW),Mr Khan,The Nationals,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,trevor.khan@parliament.nsw.gov.au,(02) 9230 3491,(02) 9230 3502,,,,,,,,,,,,,,,,,,
Lynn,The Hon.,M.L.C. psc,Mr Lynn,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,charlie.lynn@parliament.nsw.gov.au,(02) 9230 3362,(02) 9230 2396,,,,,,,,,,,,,,,,,,Parliamentary Secretary
MacDonald,Mr,M.L.C.,Mr MacDonald,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,scot.macdonald@parliament.nsw.gov.au,(02) 9230 2393,(02) 9230 2366,,,,,,,,,,,,,,,,,,
Maclaren-Jones,The Hon.,M.L.C. BN MHSM,Mrs Maclaren-Jones,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,natasha.maclaren-jones@parliament.nsw.gov.au,(02) 9230 2836,(02) 9230 2698,,,,,,,,,,,,,,,,,,Temporary Chair of Committees
Mason-Cox,The Hon.,M.L.C.,Mr Mason-Cox,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,Matthew.Mason-Cox@parliament.nsw.gov.au,(02) 9230 3572,(02) 9230 3597,,,,,,,,,,,,,,,,,,Parliamentary Secretary
Mitchell,The Hon.,M.L.C.,Mrs Mitchell,The Nationals,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,sarah.mitchell@parliament.nsw.gov.au,(02) 9230 3499,(02) 9230 2348,,,,,,,,,,,,,,,,,,Temporary Chair of Committees
Moselmane,The Hon.,M.L.C.,Mr Moselmane,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,shaoquett.moselmane@parliament.nsw.gov.au,(02) 9230 2526,(02) 9230 2722,,,,,,,,,,,,,,,,,,
Nile,Reverend the Hon.,M.L.C. ED LTh,Reverend Nile,Christian Democratic Party (Fred Nile Group),,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,F.Nile@parliament.nsw.gov.au,(02) 9230 2478,(02) 9230 2098,,,,,,,,,,,,,,,,,,Assistant President
Pavey,The Hon.,M.L.C.,Mrs Pavey,The Nationals,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,melinda.pavey@parliament.nsw.gov.au,(02) 9230 2977,(02) 9230 2053,,,,,,,,,,,,,,,,,,Parliamentary Secretary
Pearce,The Hon.,M.L.C. BA LLB,Mr Pearce,Liberal Party,,Minister for Finance and Services; and Minister for the Illawarra,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,,(02) 9230 2428,(02) 9230 2767,,Level 36 Governor Macquarie Tower,1 Farrer Place,,Sydney,NSW,2000,,,,,office@pearce.minister.nsw.gov.au,(02) 9228 5287,(02) 9228 5899,,,,
Phelps,The Hon. Dr,M.L.C.,Dr Phelps,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,peter.phelps@parliament.nsw.gov.au,(02) 9230 3462,(02) 9230 3568,,,,,,,,,,,,,,,,,,Government Whip in the Legislative Council
Primrose,The Hon.,M.L.C. B SocStud(Syd),Mr Primrose,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,peter.primrose@parliament.nsw.gov.au,(02 9230 2686,(02) 9230 3498,,,,,,,,,,,,,,,,,,
Roozendaal,The Hon.,M.L.C. BA LLB,Mr Roozendaal,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,eric.roozendaal@parliament.nsw.gov.au,(02) 9230 2837,(02) 9230 2889,,,,,,,,,,,,,,,,,,
Searle,The Hon.,M.L.C.,Mr Searle,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,adam.searle@parliament.nsw.gov.au,(02) 9230 2160,(02) 9230 2522,,,,,,,,,,,,,,,,,,Deputy Leader of the Opposition in the Legislative Council
Secord,The Hon.,M.L.C.,Mr Secord,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,walt.secord@parliament.nsw.gov.au,(02) 9230 2111,,,,,,,,,,,,,,,,,,,
Sharpe,The Hon.,M.L.C.,Ms Sharpe,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,Penny.Sharpe@parliament.nsw.gov.au,(02) 9230 2741,(02) 9230 2589,,,,,,,,,,,,,,,,,,
Shoebridge,Mr,M.L.C.,Mr Shoebridge,The Greens,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,david.shoebridge@parliament.nsw.gov.au,(02) 9230 3030,(02) 9230 2159,,,,,,,,,,,,,,,,,,
Veitch,The Hon.,M.L.C.,Mr Veitch,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,mick.veitch@parliament.nsw.gov.au,(02) 9230 2714,(02) 9230 2840,,,,,,,,,,,,,,,,,,
Voltz,The Hon.,M.L.C.,Ms Voltz,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,lynda.voltz@parliament.nsw.gov.au,(02) 9230 2970,(02) 9230 3043,,,,,,,,,,,,,,,,,,Deputy Opposition Whip in the Legislative Council
Westwood,The Hon.,M.L.C. AM,Ms Westwood,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,helen.westwood@parliament.nsw.gov.au,(02) 9230 2043,(02) 9230 2094,,,,,,,,,,,,,,,,,,Temporary Chair of Committees
Whan,The Hon.,M.L.C.,Mr Whan,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,steve.whan@parliament.nsw.gov.au,(02) 9230 3324,,,,,,,,,,,,,,,,,,,
